"Action","Source address","Destination address","Port","Protocol"
"0","172.160.2.197","192.168.1.2","80","6"
"0","172.160.2.135","192.168.1.218","80","6"
"0","203.222.201.7","192.168.1.135","53","17"
"1","203.222.201.68","203.222.201.191","22","6"
"1","192.168.1.213","192.168.1.47","53","17"
"1","192.168.1.172","192.168.1.103","22","6"
"1","203.222.201.83","203.222.201.223","53","17"
"0","172.160.2.180","203.222.201.234","23","6"
"0","203.222.201.105","192.168.1.237","53","17"
"0","172.160.2.236","203.222.201.34","22","6"
"0","192.168.1.145","172.160.2.162","25","6"
"1","172.160.2.88","172.160.2.62","110","17"
"0","192.168.1.165","172.160.2.177","22","6"
"1","172.160.2.156","172.160.2.110","80","6"
"0","172.160.2.169","192.168.1.19","110","17"
"0","192.168.1.215","172.160.2.241","110","17"
"1","203.222.201.233","172.160.2.228","53","17"
"1","203.222.201.159","172.160.2.209","53","17"
"1","172.160.2.170","172.160.2.182","110","17"
"0","203.222.201.201","192.168.1.75","25","6"
"0","172.160.2.25","203.222.201.12","21","6"
"0","192.168.1.204","203.222.201.68","53","17"
"0","172.160.2.174","192.168.1.213","21","6"
"0","203.222.201.98","192.168.1.122","80","6"
"1","203.222.201.212","203.222.201.223","25","6"
"0","172.160.2.50","192.168.1.245","22","6"
"0","172.160.2.123","203.222.201.194","25","6"
"0","192.168.1.127","172.160.2.136","110","17"
"1","172.160.2.144","172.160.2.116","25","6"
"1","203.222.201.221","203.222.201.78","110","17"
"0","203.222.201.122","172.160.2.163","21","6"
"1","192.168.1.11","192.168.1.249","80","6"
"0","172.160.2.225","192.168.1.186","22","6"
"0","172.160.2.125","192.168.1.168","25","6"
"1","203.222.201.224","203.222.201.83","22","6"
"0","172.160.2.226","192.168.1.13","25","6"
"1","172.160.2.137","172.160.2.13","80","6"
"0","192.168.1.76","203.222.201.227","23","6"
"0","203.222.201.221","172.160.2.235","22","6"
"0","172.160.2.18","203.222.201.220","23","6"
"1","192.168.1.126","192.168.1.24","25","6"
"0","203.222.201.180","172.160.2.116","21","6"
"0","192.168.1.91","172.160.2.91","22","6"
"1","203.222.201.97","203.222.201.237","53","17"
"0","203.222.201.33","172.160.2.150","23","6"
"0","203.222.201.89","172.160.2.77","23","6"
"0","172.160.2.17","203.222.201.175","80","6"
"0","192.168.1.202","203.222.201.77","22","6"
"1","192.168.1.173","192.168.1.169","110","17"
"1","192.168.1.205","192.168.1.65","23","6"
"0","192.168.1.89","172.160.2.75","23","6"
"0","203.222.201.185","192.168.1.251","21","6"
"1","192.168.1.27","192.168.1.184","21","6"
"0","172.160.2.162","203.222.201.6","80","6"
"0","203.222.201.93","192.168.1.216","21","6"
"0","203.222.201.206","192.168.1.32","80","6"
"0","192.168.1.39","172.160.2.176","22","6"
"0","192.168.1.67","203.222.201.146","110","17"
"0","172.160.2.118","192.168.1.133","25","6"
"0","192.168.1.175","203.222.201.35","110","17"
"0","172.160.2.100","203.222.201.15","25","6"
"1","192.168.1.135","203.222.201.105","25","6"
"1","172.160.2.90","172.160.2.189","25","6"
"1","203.222.201.18","203.222.201.24","53","17"
"1","172.160.2.17","172.160.2.45","25","6"
"0","203.222.201.240","172.160.2.65","110","17"
"0","172.160.2.121","192.168.1.45","110","17"
"1","172.160.2.225","172.160.2.236","25","6"
"0","192.168.1.135","172.160.2.80","25","6"
"1","172.160.2.16","172.160.2.147","110","17"
"1","203.222.201.197","203.222.201.242","25","6"
"1","203.222.201.124","203.222.201.40","22","6"
"0","192.168.1.108","172.160.2.105","21","6"
"0","172.160.2.42","192.168.1.3","110","17"
"0","203.222.201.184","172.160.2.28","23","6"
"1","203.222.201.138","203.222.201.126","22","6"
"1","192.168.1.79","192.168.1.180","80","6"
"0","172.160.2.240","192.168.1.108","21","6"
"0","203.222.201.238","172.160.2.189","25","6"
"0","192.168.1.167","172.160.2.57","22","6"
"0","192.168.1.5","172.160.2.40","22","6"
"1","192.168.1.219","192.168.1.73","110","17"
"1","203.222.201.219","203.222.201.83","21","6"
"1","172.160.2.148","172.160.2.167","21","6"
"0","192.168.1.132","203.222.201.33","22","6"
"1","192.168.1.75","192.168.1.171","80","6"
"0","203.222.201.103","172.160.2.137","23","6"
"0","172.160.2.193","203.222.201.3","80","6"
"0","172.160.2.57","203.222.201.119","25","6"
"1","192.168.1.34","192.168.1.251","25","6"
"0","172.160.2.153","192.168.1.59","22","6"
"1","192.168.1.9","192.168.1.68","110","17"
"1","172.160.2.185","172.160.2.39","22","6"
"0","192.168.1.192","172.160.2.232","80","6"
"0","172.160.2.172","203.222.201.158","21","6"
"0","172.160.2.215","192.168.1.163","25","6"
"1","192.168.1.62","192.168.1.51","23","6"
"1","192.168.1.154","203.222.201.113","21","6"
"1","172.160.2.174","192.168.1.188","23","6"
"0","192.168.1.44","172.160.2.56","53","17"
"0","172.160.2.176","203.222.201.66","53","17"
"0","172.160.2.17","192.168.1.166","21","6"
"1","203.222.201.144","203.222.201.39","53","17"
"0","203.222.201.133","192.168.1.178","80","6"
"0","192.168.1.104","203.222.201.130","110","17"
"1","203.222.201.7","203.222.201.75","53","17"
"0","203.222.201.49","192.168.1.183","21","6"
"0","203.222.201.243","172.160.2.115","22","6"
"1","203.222.201.27","203.222.201.5","25","6"
"0","203.222.201.142","172.160.2.128","110","17"
"1","203.222.201.149","203.222.201.200","80","6"
"0","203.222.201.13","172.160.2.116","23","6"
"1","203.222.201.91","203.222.201.19","25","6"
"1","172.160.2.167","172.160.2.149","23","6"
"0","192.168.1.213","172.160.2.168","21","6"
"1","203.222.201.247","203.222.201.63","22","6"
"0","203.222.201.136","172.160.2.30","80","6"
"0","172.160.2.227","203.222.201.197","22","6"
"0","172.160.2.223","192.168.1.93","22","6"
"0","203.222.201.188","192.168.1.128","110","17"
"0","172.160.2.185","192.168.1.182","110","17"
"0","172.160.2.85","203.222.201.103","25","6"
"1","203.222.201.99","203.222.201.206","80","6"
"0","203.222.201.63","172.160.2.247","80","6"
"0","192.168.1.246","172.160.2.39","22","6"
"0","203.222.201.2","172.160.2.66","25","6"
"1","192.168.1.236","192.168.1.112","25","6"
"0","192.168.1.248","203.222.201.114","80","6"
"0","203.222.201.239","172.160.2.8","80","6"
"0","172.160.2.180","203.222.201.21","21","6"
"1","172.160.2.250","172.160.2.55","110","17"
"1","192.168.1.158","192.168.1.185","80","6"
"0","203.222.201.62","192.168.1.148","110","17"
"1","172.160.2.125","172.160.2.78","80","6"
"1","172.160.2.87","172.160.2.30","53","17"
"0","203.222.201.81","192.168.1.194","80","6"
"0","192.168.1.222","203.222.201.115","22","6"
"0","203.222.201.201","192.168.1.243","110","17"
"0","172.160.2.77","203.222.201.198","110","17"
"0","192.168.1.83","172.160.2.235","110","17"
"0","192.168.1.229","172.160.2.111","25","6"
"1","172.160.2.141","172.160.2.17","110","17"
"1","203.222.201.121","203.222.201.205","21","6"
"1","172.160.2.55","172.160.2.148","80","6"
"0","203.222.201.84","192.168.1.100","110","17"
"0","192.168.1.245","172.160.2.18","80","6"
"0","172.160.2.115","203.222.201.166","22","6"
"0","172.160.2.162","203.222.201.130","25","6"
"0","192.168.1.231","172.160.2.184","22","6"
"1","203.222.201.216","203.222.201.187","25","6"
"1","172.160.2.243","172.160.2.104","23","6"
"0","203.222.201.61","172.160.2.30","21","6"
"0","172.160.2.104","192.168.1.219","80","6"
"0","172.160.2.184","203.222.201.165","23","6"
"0","192.168.1.109","203.222.201.156","80","6"
"0","172.160.2.39","192.168.1.40","25","6"
"0","203.222.201.108","172.160.2.54","80","6"
"1","172.160.2.96","172.160.2.46","25","6"
"1","172.160.2.56","172.160.2.35","80","6"
"0","192.168.1.139","172.160.2.175","80","6"
"1","192.168.1.118","192.168.1.49","80","6"
"1","172.160.2.188","172.160.2.243","22","6"
"1","192.168.1.178","192.168.1.245","25","6"
"0","192.168.1.201","203.222.201.85","53","17"
"1","192.168.1.111","192.168.1.86","23","6"
"1","203.222.201.206","203.222.201.106","110","17"
"1","192.168.1.106","192.168.1.119","25","6"
"1","172.160.2.138","172.160.2.24","80","6"
"0","172.160.2.214","203.222.201.9","110","17"
"0","192.168.1.222","203.222.201.25","23","6"
"0","203.222.201.123","172.160.2.137","22","6"
"0","203.222.201.221","192.168.1.79","23","6"
"1","203.222.201.201","203.222.201.197","110","17"
"1","172.160.2.202","172.160.2.34","23","6"
"0","172.160.2.213","192.168.1.19","110","17"
"0","172.160.2.228","203.222.201.237","80","6"
"0","192.168.1.9","172.160.2.15","53","17"
"0","203.222.201.43","192.168.1.214","23","6"
"1","203.222.201.189","203.222.201.204","23","6"
"0","172.160.2.208","203.222.201.90","110","17"
"1","192.168.1.141","203.222.201.41","21","6"
"0","203.222.201.34","192.168.1.229","110","17"
"1","203.222.201.134","203.222.201.33","25","6"
"0","172.160.2.224","203.222.201.45","110","17"
"1","203.222.201.3","203.222.201.192","23","6"
"1","192.168.1.246","203.222.201.214","21","6"
"0","203.222.201.222","192.168.1.31","22","6"
"0","192.168.1.158","172.160.2.142","25","6"
"1","192.168.1.54","192.168.1.158","25","6"
"1","203.222.201.220","203.222.201.216","53","17"
"0","192.168.1.107","172.160.2.63","22","6"
"0","203.222.201.162","172.160.2.38","22","6"
"0","172.160.2.95","192.168.1.104","110","17"
"0","192.168.1.174","172.160.2.138","110","17"
"1","203.222.201.11","203.222.201.114","22","6"
"1","172.160.2.253","172.160.2.235","25","6"
"1","192.168.1.172","203.222.201.17","25","6"
"1","203.222.201.141","203.222.201.215","25","6"
"0","192.168.1.72","172.160.2.181","22","6"
"0","172.160.2.244","192.168.1.49","22","6"
"1","172.160.2.25","172.160.2.13","23","6"
"0","203.222.201.193","192.168.1.202","53","17"
"1","172.160.2.207","172.160.2.238","110","17"
"0","192.168.1.219","203.222.201.7","80","6"
"1","203.222.201.190","203.222.201.76","21","6"
"0","203.222.201.157","172.160.2.183","22","6"
"1","192.168.1.53","192.168.1.71","53","17"
"0","203.222.201.74","172.160.2.32","80","6"
"0","203.222.201.112","192.168.1.18","53","17"
"1","203.222.201.123","203.222.201.252","80","6"
"0","172.160.2.65","203.222.201.196","23","6"
"0","203.222.201.234","172.160.2.135","80","6"
"0","172.160.2.146","203.222.201.151","23","6"
"0","172.160.2.184","203.222.201.126","80","6"
"1","203.222.201.7","203.222.201.13","25","6"
"1","192.168.1.80","192.168.1.168","22","6"
"1","203.222.201.134","203.222.201.121","110","17"
"1","192.168.1.106","203.222.201.67","21","6"
"1","192.168.1.64","203.222.201.102","21","6"
"1","203.222.201.85","203.222.201.129","21","6"
"1","192.168.1.221","203.222.201.166","21","6"
"0","203.222.201.33","192.168.1.96","22","6"
"1","172.160.2.138","192.168.1.126","23","6"
"1","172.160.2.72","192.168.1.236","23","6"
"1","192.168.1.213","192.168.1.141","22","6"
"0","192.168.1.157","172.160.2.111","53","17"
"0","203.222.201.141","172.160.2.175","22","6"
"0","172.160.2.5","203.222.201.58","23","6"
"1","172.160.2.172","172.160.2.152","23","6"
"1","192.168.1.224","192.168.1.149","22","6"
"0","203.222.201.149","192.168.1.134","23","6"
"0","192.168.1.222","172.160.2.139","53","17"
"1","192.168.1.193","192.168.1.132","53","17"
"1","203.222.201.121","203.222.201.166","53","17"
"0","172.160.2.45","203.222.201.158","80","6"
"1","192.168.1.245","192.168.1.163","53","17"
"0","203.222.201.29","192.168.1.8","53","17"
"0","203.222.201.93","172.160.2.179","21","6"
"0","203.222.201.10","172.160.2.91","25","6"
"1","172.160.2.165","172.160.2.9","23","6"
"0","192.168.1.21","203.222.201.174","22","6"
"1","172.160.2.42","172.160.2.31","22","6"
"0","192.168.1.195","203.222.201.5","22","6"
"0","192.168.1.35","172.160.2.80","110","17"
"0","192.168.1.29","172.160.2.118","25","6"
"0","203.222.201.192","172.160.2.10","25","6"
"0","172.160.2.87","192.168.1.4","22","6"
"1","172.160.2.12","172.160.2.253","21","6"
"1","192.168.1.29","192.168.1.210","21","6"
"0","172.160.2.242","192.168.1.134","22","6"
"1","172.160.2.98","172.160.2.207","23","6"
"1","203.222.201.139","203.222.201.134","21","6"
"1","203.222.201.106","203.222.201.98","80","6"
"0","172.160.2.178","203.222.201.220","80","6"
"1","203.222.201.53","203.222.201.111","22","6"
"1","203.222.201.134","203.222.201.29","53","17"
"0","172.160.2.187","203.222.201.139","80","6"
"0","203.222.201.100","172.160.2.164","110","17"
"0","192.168.1.168","203.222.201.107","23","6"
"0","192.168.1.111","172.160.2.254","110","17"
"0","192.168.1.188","172.160.2.68","21","6"
"1","172.160.2.21","172.160.2.236","23","6"
"0","192.168.1.155","172.160.2.232","80","6"
"1","203.222.201.70","203.222.201.152","80","6"
"0","192.168.1.137","203.222.201.208","23","6"
"0","203.222.201.124","172.160.2.216","23","6"
"0","203.222.201.79","172.160.2.137","23","6"
"0","203.222.201.180","192.168.1.50","23","6"
"0","172.160.2.33","192.168.1.184","53","17"
"0","172.160.2.173","192.168.1.215","53","17"
"0","192.168.1.67","203.222.201.157","53","17"
"0","172.160.2.64","192.168.1.192","110","17"
"1","172.160.2.254","172.160.2.94","53","17"
"1","203.222.201.233","203.222.201.98","25","6"
"0","192.168.1.115","203.222.201.37","23","6"
"1","172.160.2.73","172.160.2.174","80","6"
"0","192.168.1.195","172.160.2.5","22","6"
"1","203.222.201.232","203.222.201.7","25","6"
"0","203.222.201.131","192.168.1.143","25","6"
"0","192.168.1.156","203.222.201.106","22","6"
"1","192.168.1.194","192.168.1.248","80","6"
"1","203.222.201.114","203.222.201.76","23","6"
"0","172.160.2.169","192.168.1.227","110","17"
"1","172.160.2.35","172.160.2.83","23","6"
"0","192.168.1.61","172.160.2.102","110","17"
"1","203.222.201.227","203.222.201.83","110","17"
"0","172.160.2.3","203.222.201.126","80","6"
"0","172.160.2.99","203.222.201.131","23","6"
"1","172.160.2.238","172.160.2.97","22","6"
"0","203.222.201.73","192.168.1.205","80","6"
"1","172.160.2.136","172.160.2.57","25","6"
"0","192.168.1.153","172.160.2.128","53","17"
"0","172.160.2.181","203.222.201.170","23","6"
"1","172.160.2.211","172.160.2.231","23","6"
"1","192.168.1.154","203.222.201.187","21","6"
"0","172.160.2.137","192.168.1.225","22","6"
"1","203.222.201.116","172.160.2.254","53","17"
"0","172.160.2.117","203.222.201.211","25","6"
"1","203.222.201.23","203.222.201.83","80","6"
"1","192.168.1.5","192.168.1.24","23","6"
"0","192.168.1.154","172.160.2.76","22","6"
"1","203.222.201.215","203.222.201.161","80","6"
"1","172.160.2.240","192.168.1.12","23","6"
"0","203.222.201.111","172.160.2.178","23","6"
"0","203.222.201.238","172.160.2.184","23","6"
"1","172.160.2.175","172.160.2.48","21","6"
"0","203.222.201.136","192.168.1.254","22","6"
"0","172.160.2.50","203.222.201.93","80","6"
"0","203.222.201.87","192.168.1.110","23","6"
"0","192.168.1.199","203.222.201.173","22","6"
"1","172.160.2.84","172.160.2.229","21","6"
"1","203.222.201.118","203.222.201.135","80","6"
"0","172.160.2.37","192.168.1.82","80","6"
"0","203.222.201.83","172.160.2.201","23","6"
"1","192.168.1.23","192.168.1.43","80","6"
"1","203.222.201.32","203.222.201.113","110","17"
"0","172.160.2.112","203.222.201.154","23","6"
"0","203.222.201.218","172.160.2.247","110","17"
"0","172.160.2.40","203.222.201.239","110","17"
"1","192.168.1.125","192.168.1.62","25","6"
"1","192.168.1.246","192.168.1.8","22","6"
"1","172.160.2.160","172.160.2.139","53","17"
"0","192.168.1.192","172.160.2.81","23","6"
"1","192.168.1.205","192.168.1.31","25","6"
"1","172.160.2.185","172.160.2.211","110","17"
"0","192.168.1.74","203.222.201.125","22","6"
"0","203.222.201.85","172.160.2.33","80","6"
"0","172.160.2.20","203.222.201.205","80","6"
"1","172.160.2.148","172.160.2.208","53","17"
"1","172.160.2.148","172.160.2.111","22","6"
"0","172.160.2.215","203.222.201.217","22","6"
"0","203.222.201.46","192.168.1.206","53","17"
"1","203.222.201.177","203.222.201.233","53","17"
"1","192.168.1.116","192.168.1.145","21","6"
"1","172.160.2.166","192.168.1.35","23","6"
"1","192.168.1.7","192.168.1.2","22","6"
"0","203.222.201.102","172.160.2.52","23","6"
"0","172.160.2.18","203.222.201.72","21","6"
"0","172.160.2.46","192.168.1.70","25","6"
"1","203.222.201.183","203.222.201.195","53","17"
"0","192.168.1.101","203.222.201.34","110","17"
"1","203.222.201.12","203.222.201.152","80","6"
"0","172.160.2.207","203.222.201.177","22","6"
"0","192.168.1.46","203.222.201.15","110","17"
"1","172.160.2.239","172.160.2.128","22","6"
"0","172.160.2.78","203.222.201.34","23","6"
"0","203.222.201.123","192.168.1.241","21","6"
"0","203.222.201.68","192.168.1.89","53","17"
"0","192.168.1.109","203.222.201.200","23","6"
"1","192.168.1.161","192.168.1.104","25","6"
"0","203.222.201.137","192.168.1.125","80","6"
"0","192.168.1.141","172.160.2.231","110","17"
"0","172.160.2.128","192.168.1.176","22","6"
"0","203.222.201.18","172.160.2.169","110","17"
"0","203.222.201.1","192.168.1.233","80","6"
"0","172.160.2.88","203.222.201.130","110","17"
"1","172.160.2.216","172.160.2.101","21","6"
"0","203.222.201.131","192.168.1.23","23","6"
"0","203.222.201.101","192.168.1.140","80","6"
"0","203.222.201.115","192.168.1.236","53","17"
"0","203.222.201.224","192.168.1.100","25","6"
"0","203.222.201.232","172.160.2.154","25","6"
"0","203.222.201.123","192.168.1.95","22","6"
"0","192.168.1.170","172.160.2.84","22","6"
"0","203.222.201.56","192.168.1.247","110","17"
"0","172.160.2.144","192.168.1.75","80","6"
"1","172.160.2.44","172.160.2.122","22","6"
"0","172.160.2.246","203.222.201.231","25","6"
"0","192.168.1.92","172.160.2.201","53","17"
"0","192.168.1.87","172.160.2.176","23","6"
"0","203.222.201.166","172.160.2.42","21","6"
"0","203.222.201.178","172.160.2.221","21","6"
"0","192.168.1.238","172.160.2.143","110","17"
"1","172.160.2.45","172.160.2.115","23","6"
"1","203.222.201.241","203.222.201.85","53","17"
"0","192.168.1.97","172.160.2.245","110","17"
"1","192.168.1.200","192.168.1.98","21","6"
"0","203.222.201.151","192.168.1.125","53","17"
"1","172.160.2.183","172.160.2.14","53","17"
"0","203.222.201.47","172.160.2.9","21","6"
"1","203.222.201.171","203.222.201.136","53","17"
"1","203.222.201.192","203.222.201.21","22","6"
"0","172.160.2.188","203.222.201.28","21","6"
"1","172.160.2.80","172.160.2.12","80","6"
"1","192.168.1.109","192.168.1.228","53","17"
"0","172.160.2.151","203.222.201.119","22","6"
"0","203.222.201.243","192.168.1.99","25","6"
"0","192.168.1.40","203.222.201.193","80","6"
"1","172.160.2.65","172.160.2.196","22","6"
"0","203.222.201.208","192.168.1.36","21","6"
"1","203.222.201.23","203.222.201.180","80","6"
"1","172.160.2.151","172.160.2.176","25","6"
"0","203.222.201.118","192.168.1.37","80","6"
"0","172.160.2.247","203.222.201.105","25","6"
"0","192.168.1.34","203.222.201.48","23","6"
"1","192.168.1.182","192.168.1.113","110","17"
"0","192.168.1.91","172.160.2.147","25","6"
"0","172.160.2.116","203.222.201.200","23","6"
"0","192.168.1.179","203.222.201.104","22","6"
"1","203.222.201.154","172.160.2.7","53","17"
"0","203.222.201.243","172.160.2.146","21","6"
"1","203.222.201.210","203.222.201.243","53","17"
"0","172.160.2.114","203.222.201.108","53","17"
"0","192.168.1.81","172.160.2.185","23","6"
"1","172.160.2.96","172.160.2.102","110","17"
"0","203.222.201.163","192.168.1.98","53","17"
"0","192.168.1.30","203.222.201.25","53","17"
"0","172.160.2.46","192.168.1.219","21","6"
"0","172.160.2.199","203.222.201.51","110","17"
"0","172.160.2.239","192.168.1.50","25","6"
"0","192.168.1.173","203.222.201.23","22","6"
"0","172.160.2.175","192.168.1.176","110","17"
"0","203.222.201.28","192.168.1.32","21","6"
"0","172.160.2.248","203.222.201.54","25","6"
"0","192.168.1.137","203.222.201.208","53","17"
"0","203.222.201.207","172.160.2.217","110","17"
"0","203.222.201.236","192.168.1.134","22","6"
"0","172.160.2.77","203.222.201.79","80","6"
"0","203.222.201.44","172.160.2.125","80","6"
"0","192.168.1.209","172.160.2.161","53","17"
"0","172.160.2.223","192.168.1.18","25","6"
"0","172.160.2.16","192.168.1.134","80","6"
"1","203.222.201.19","203.222.201.113","22","6"
"0","172.160.2.183","192.168.1.190","53","17"
"0","172.160.2.251","192.168.1.184","53","17"
"1","172.160.2.103","172.160.2.77","23","6"
"0","172.160.2.252","192.168.1.209","53","17"
"0","203.222.201.223","172.160.2.23","80","6"
"0","203.222.201.87","172.160.2.158","80","6"
"1","203.222.201.111","203.222.201.89","53","17"
"1","192.168.1.110","192.168.1.32","22","6"
"1","192.168.1.51","203.222.201.165","21","6"
"1","192.168.1.54","192.168.1.80","80","6"
"0","203.222.201.93","172.160.2.102","110","17"
"0","203.222.201.145","172.160.2.229","21","6"
"1","203.222.201.215","203.222.201.201","22","6"
"0","172.160.2.104","192.168.1.78","25","6"
"0","192.168.1.33","203.222.201.245","110","17"
"1","172.160.2.94","172.160.2.195","21","6"
"0","203.222.201.88","192.168.1.160","80","6"
"1","192.168.1.174","192.168.1.147","25","6"
"0","203.222.201.224","192.168.1.145","21","6"
"1","172.160.2.112","192.168.1.100","23","6"
"0","203.222.201.221","192.168.1.5","25","6"
"0","203.222.201.164","192.168.1.1","21","6"
"1","203.222.201.106","203.222.201.51","110","17"
"0","172.160.2.102","192.168.1.4","80","6"
"0","192.168.1.154","172.160.2.251","110","17"
"0","192.168.1.128","203.222.201.23","22","6"
"0","203.222.201.136","192.168.1.32","22","6"
"0","172.160.2.152","203.222.201.191","80","6"
"1","172.160.2.7","172.160.2.234","53","17"
"1","203.222.201.232","172.160.2.14","53","17"
"0","172.160.2.60","192.168.1.132","53","17"
"0","192.168.1.146","172.160.2.92","21","6"
"0","203.222.201.24","192.168.1.176","80","6"
"1","192.168.1.160","203.222.201.194","21","6"
"0","203.222.201.169","172.160.2.78","23","6"
"0","192.168.1.62","172.160.2.147","80","6"
"0","192.168.1.120","172.160.2.79","53","17"
"1","192.168.1.128","192.168.1.14","53","17"
"0","203.222.201.131","192.168.1.112","23","6"
"0","203.222.201.61","192.168.1.2","23","6"
"0","172.160.2.97","192.168.1.174","21","6"
"0","192.168.1.167","203.222.201.109","80","6"
"0","203.222.201.60","192.168.1.220","80","6"
"1","172.160.2.12","172.160.2.119","25","6"
"0","203.222.201.58","172.160.2.66","25","6"
"1","203.222.201.252","203.222.201.103","80","6"
"0","192.168.1.149","203.222.201.185","53","17"
"0","203.222.201.98","172.160.2.88","22","6"
"1","172.160.2.163","172.160.2.237","21","6"
"0","192.168.1.146","203.222.201.216","110","17"
"0","203.222.201.76","172.160.2.80","25","6"
"0","172.160.2.144","203.222.201.13","21","6"
"0","203.222.201.52","192.168.1.147","22","6"
"1","203.222.201.244","203.222.201.171","23","6"
"0","172.160.2.190","192.168.1.197","25","6"
"0","172.160.2.93","203.222.201.108","25","6"
"1","203.222.201.199","203.222.201.19","80","6"
"1","192.168.1.156","192.168.1.73","53","17"
"0","203.222.201.19","192.168.1.207","22","6"
"0","172.160.2.86","203.222.201.99","21","6"
"0","203.222.201.151","192.168.1.58","110","17"
