"Action","src1","src2","src3","src4","dst1","dst2","dst3","dst4","port","protocol"
"0","11001011","11011110","11001001","01010011","11000000","10101000","00000001","10110000","0000000000011001","00000110"
"0","11001011","11011110","11001001","11100011","11000000","10101000","00000001","01010111","0000000001010000","00000110"
"0","11000000","10101000","00000001","10011010","11001011","11011110","11001001","01010100","0000000000010110","00000110"
"1","11000000","10101000","00000001","01000101","11000000","10101000","00000001","01100001","0000000001101110","00010001"
"1","10101100","10100000","00000010","11100001","10101100","10100000","00000010","00101011","0000000000010101","00000110"
"0","11001011","11011110","11001001","01001111","10101100","10100000","00000010","00111101","0000000000010111","00000110"
"1","10101100","10100000","00000010","01011110","10101100","10100000","00000010","00011101","0000000000010101","00000110"
"0","11000000","10101000","00000001","10011010","10101100","10100000","00000010","10111000","0000000000010111","00000110"
"1","11001011","11011110","11001001","00000110","10101100","10100000","00000010","00100001","0000000000110101","00010001"
"0","11001011","11011110","11001001","00100111","10101100","10100000","00000010","10011111","0000000000011001","00000110"
"1","11001011","11011110","11001001","01011010","10101100","10100000","00000010","10101001","0000000000110101","00010001"
"1","10101100","10100000","00000010","11101101","10101100","10100000","00000010","11010010","0000000000011001","00000110"
"0","11001011","11011110","11001001","10001100","11000000","10101000","00000001","11000001","0000000000011001","00000110"
"1","11000000","10101000","00000001","01010011","11001011","11011110","11001001","10100111","0000000000011001","00000110"
"1","11001011","11011110","11001001","10001010","11001011","11011110","11001001","00010000","0000000000110101","00010001"
"0","11001011","11011110","11001001","11000100","10101100","10100000","00000010","10011011","0000000001101110","00010001"
"0","11001011","11011110","11001001","00000010","10101100","10100000","00000010","01100100","0000000001010000","00000110"
"0","10101100","10100000","00000010","00011010","11001011","11011110","11001001","00001111","0000000000010101","00000110"
"1","10101100","10100000","00000010","11111010","10101100","10100000","00000010","01100011","0000000001101110","00010001"
"0","10101100","10100000","00000010","00111000","11000000","10101000","00000001","00101101","0000000001010000","00000110"
"0","11001011","11011110","11001001","01110100","10101100","10100000","00000010","11100010","0000000000010111","00000110"
"0","11001011","11011110","11001001","10101111","10101100","10100000","00000010","01111001","0000000000010101","00000110"
"0","11001011","11011110","11001001","11011000","10101100","10100000","00000010","11111100","0000000000011001","00000110"
"1","11001011","11011110","11001001","00100110","11001011","11011110","11001001","10100010","0000000001010000","00000110"
"1","11001011","11011110","11001001","01110011","11001011","11011110","11001001","00111111","0000000000011001","00000110"
"1","11000000","10101000","00000001","11100110","11000000","10101000","00000001","11001101","0000000001010000","00000110"
"0","11001011","11011110","11001001","00010100","10101100","10100000","00000010","00111010","0000000000010110","00000110"
"1","10101100","10100000","00000010","00110111","10101100","10100000","00000010","01000110","0000000000010111","00000110"
"0","11000000","10101000","00000001","00111010","11001011","11011110","11001001","00011101","0000000000110101","00010001"
"1","11000000","10101000","00000001","00110100","11001011","11011110","11001001","01000011","0000000000011001","00000110"
"1","11001011","11011110","11001001","01001011","10101100","10100000","00000010","00011100","0000000000110101","00010001"
"0","10101100","10100000","00000010","11110100","11001011","11011110","11001001","00011110","0000000000010101","00000110"
"0","11000000","10101000","00000001","00100011","11001011","11011110","11001001","01100001","0000000000010110","00000110"
"0","11000000","10101000","00000001","00000100","10101100","10100000","00000010","01000101","0000000000010111","00000110"
"0","11001011","11011110","11001001","01000010","10101100","10100000","00000010","11011110","0000000000010101","00000110"
"1","11001011","11011110","11001001","11111001","11001011","11011110","11001001","01101000","0000000000010110","00000110"
"0","10101100","10100000","00000010","00011001","11001011","11011110","11001001","11100111","0000000000010110","00000110"
"0","11001011","11011110","11001001","10100110","11000000","10101000","00000001","11001101","0000000000010101","00000110"
"1","11000000","10101000","00000001","01100000","11000000","10101000","00000001","11100001","0000000001101110","00010001"
"1","10101100","10100000","00000010","01000010","10101100","10100000","00000010","11001111","0000000000011001","00000110"
"0","10101100","10100000","00000010","01000101","11000000","10101000","00000001","10000010","0000000000010110","00000110"
"0","11001011","11011110","11001001","01011100","10101100","10100000","00000010","11011100","0000000000010111","00000110"
"0","11001011","11011110","11001001","00001000","11000000","10101000","00000001","11101001","0000000000010101","00000110"
"0","11001011","11011110","11001001","10101000","11000000","10101000","00000001","01001100","0000000001101110","00010001"
"1","11000000","10101000","00000001","11100101","11000000","10101000","00000001","01001000","0000000000010101","00000110"
"1","10101100","10100000","00000010","11000011","10101100","10100000","00000010","11100101","0000000000110101","00010001"
"1","11001011","11011110","11001001","10001011","10101100","10100000","00000010","10010001","0000000000110101","00010001"
"0","11001011","11011110","11001001","11100101","11000000","10101000","00000001","11011100","0000000000110101","00010001"
"1","10101100","10100000","00000010","01100100","10101100","10100000","00000010","10001110","0000000000010111","00000110"
"0","11001011","11011110","11001001","11011101","11000000","10101000","00000001","10100011","0000000001010000","00000110"
"0","10101100","10100000","00000010","00010001","11000000","10101000","00000001","11011111","0000000001101110","00010001"
"0","11001011","11011110","11001001","10101010","11000000","10101000","00000001","00000100","0000000000010111","00000110"
"1","11001011","11011110","11001001","11001001","11001011","11011110","11001001","01010111","0000000000010110","00000110"
"0","11000000","10101000","00000001","01011011","10101100","10100000","00000010","01100101","0000000000010110","00000110"
"0","11001011","11011110","11001001","10001101","11000000","10101000","00000001","01001111","0000000000011001","00000110"
"0","11000000","10101000","00000001","00000111","11001011","11011110","11001001","10000001","0000000000010110","00000110"
"0","11001011","11011110","11001001","00000010","10101100","10100000","00000010","01001000","0000000000010101","00000110"
"1","11000000","10101000","00000001","10011000","11000000","10101000","00000001","10011001","0000000001101110","00010001"
"0","11001011","11011110","11001001","01100010","11000000","10101000","00000001","00000110","0000000000010111","00000110"
"1","11001011","11011110","11001001","11000000","10101100","10100000","00000010","01110100","0000000000110101","00010001"
"1","10101100","10100000","00000010","01110101","10101100","10100000","00000010","11011000","0000000000010101","00000110"
"1","11000000","10101000","00000001","10110000","11000000","10101000","00000001","00000011","0000000000010101","00000110"
"1","11001011","11011110","11001001","01011111","11001011","11011110","11001001","11010101","0000000000011001","00000110"
"0","10101100","10100000","00000010","01110111","11001011","11011110","11001001","01110101","0000000000010111","00000110"
"1","10101100","10100000","00000010","11000011","10101100","10100000","00000010","10111001","0000000000010101","00000110"
"0","11001011","11011110","11001001","10001100","10101100","10100000","00000010","00100110","0000000001010000","00000110"
"1","11000000","10101000","00000001","10010100","11000000","10101000","00000001","00010000","0000000000110101","00010001"
"0","11001011","11011110","11001001","10110101","10101100","10100000","00000010","00101000","0000000001010000","00000110"
"0","10101100","10100000","00000010","00101110","11001011","11011110","11001001","10101110","0000000000010111","00000110"
"0","11001011","11011110","11001001","10111101","11000000","10101000","00000001","10101010","0000000000011001","00000110"
"0","10101100","10100000","00000010","10000000","11001011","11011110","11001001","00100111","0000000000011001","00000110"
"0","11000000","10101000","00000001","01010110","10101100","10100000","00000010","00101010","0000000001101110","00010001"
"0","11000000","10101000","00000001","00101110","10101100","10100000","00000010","00011000","0000000001010000","00000110"
"0","11000000","10101000","00000001","10101110","11001011","11011110","11001001","01111111","0000000001101110","00010001"
"0","11000000","10101000","00000001","10011000","11001011","11011110","11001001","00111111","0000000001101110","00010001"
"0","10101100","10100000","00000010","01111001","11001011","11011110","11001001","10010000","0000000001101110","00010001"
"1","11001011","11011110","11001001","00111001","11001011","11011110","11001001","10010100","0000000001101110","00010001"
"0","11001011","11011110","11001001","10010010","11000000","10101000","00000001","11010111","0000000000011001","00000110"
"0","11001011","11011110","11001001","01101111","11000000","10101000","00000001","00110111","0000000000010110","00000110"
"1","11000000","10101000","00000001","00011010","11000000","10101000","00000001","01100000","0000000000010101","00000110"
"0","10101100","10100000","00000010","00100111","11001011","11011110","11001001","11000001","0000000000011001","00000110"
"0","10101100","10100000","00000010","01010010","11000000","10101000","00000001","11010001","0000000001101110","00010001"
"1","11000000","10101000","00000001","01001100","11000000","10101000","00000001","10101110","0000000000010110","00000110"
"1","11000000","10101000","00000001","11100110","11000000","10101000","00000001","11010011","0000000000010110","00000110"
"0","10101100","10100000","00000010","10110010","11001011","11011110","11001001","00111100","0000000001101110","00010001"
"0","11001011","11011110","11001001","01011100","11000000","10101000","00000001","00111000","0000000001010000","00000110"
"0","11001011","11011110","11001001","10011011","11000000","10101000","00000001","11010011","0000000001101110","00010001"
"1","11000000","10101000","00000001","00011101","11000000","10101000","00000001","01101011","0000000000010110","00000110"
"0","10101100","10100000","00000010","01111101","11000000","10101000","00000001","10011110","0000000001101110","00010001"
"0","11001011","11011110","11001001","10010000","10101100","10100000","00000010","11001011","0000000000010111","00000110"
"1","10101100","10100000","00000010","11110100","10101100","10100000","00000010","10110000","0000000001101110","00010001"
"0","11000000","10101000","00000001","01001111","10101100","10100000","00000010","10000111","0000000000010110","00000110"
"1","11001011","11011110","11001001","00001011","11001011","11011110","11001001","01010010","0000000000010101","00000110"
"1","11000000","10101000","00000001","10101001","11000000","10101000","00000001","01101010","0000000000110101","00010001"
"0","11001011","11011110","11001001","11001011","10101100","10100000","00000010","11100101","0000000001010000","00000110"
"1","11000000","10101000","00000001","01001001","11000000","10101000","00000001","01100111","0000000001010000","00000110"
"0","11001011","11011110","11001001","11100011","10101100","10100000","00000010","11010011","0000000000010111","00000110"
"1","10101100","10100000","00000010","10111001","10101100","10100000","00000010","11010111","0000000000110101","00010001"
"0","11000000","10101000","00000001","01001000","11001011","11011110","11001001","01011001","0000000001101110","00010001"
"0","11001011","11011110","11001001","10110001","10101100","10100000","00000010","00111100","0000000000010101","00000110"
"1","10101100","10100000","00000010","10010011","10101100","10100000","00000010","00101000","0000000000010111","00000110"
"1","10101100","10100000","00000010","11011011","11000000","10101000","00000001","00001001","0000000000010111","00000110"
"0","10101100","10100000","00000010","10000110","11001011","11011110","11001001","01101011","0000000000010111","00000110"
"0","11001011","11011110","11001001","10111110","10101100","10100000","00000010","10001100","0000000000010111","00000110"
"1","11000000","10101000","00000001","00110010","11000000","10101000","00000001","00011111","0000000000010111","00000110"
"1","11000000","10101000","00000001","00001000","11000000","10101000","00000001","11001100","0000000000011001","00000110"
"1","11001011","11011110","11001001","01100101","11001011","11011110","11001001","00001011","0000000000011001","00000110"
"0","11000000","10101000","00000001","10110101","10101100","10100000","00000010","01010010","0000000001101110","00010001"
"0","11001011","11011110","11001001","11100010","10101100","10100000","00000010","10010010","0000000000010101","00000110"
"1","10101100","10100000","00000010","11010000","10101100","10100000","00000010","01100111","0000000000110101","00010001"
"0","10101100","10100000","00000010","00001101","11001011","11011110","11001001","01101111","0000000000110101","00010001"
"1","11001011","11011110","11001001","11010110","11001011","11011110","11001001","10101010","0000000000010101","00000110"
"0","11001011","11011110","11001001","00100001","11000000","10101000","00000001","00111011","0000000001010000","00000110"
"1","11000000","10101000","00000001","11011101","11000000","10101000","00000001","10000010","0000000000110101","00010001"
"0","11000000","10101000","00000001","01110000","10101100","10100000","00000010","00000010","0000000000010110","00000110"
"0","11001011","11011110","11001001","01011001","11000000","10101000","00000001","10100000","0000000000010111","00000110"
"1","11000000","10101000","00000001","10000111","11000000","10101000","00000001","11001011","0000000000010111","00000110"
"0","10101100","10100000","00000010","00011000","11000000","10101000","00000001","10101000","0000000001101110","00010001"
"1","10101100","10100000","00000010","01100101","11000000","10101000","00000001","11011010","0000000000010111","00000110"
"0","11001011","11011110","11001001","00001111","10101100","10100000","00000010","01010010","0000000000010110","00000110"
"0","10101100","10100000","00000010","01101001","11000000","10101000","00000001","10010010","0000000000110101","00010001"
"1","10101100","10100000","00000010","00000011","10101100","10100000","00000010","01000111","0000000000010110","00000110"
"0","11000000","10101000","00000001","10111101","10101100","10100000","00000010","00000001","0000000000010101","00000110"
"0","11000000","10101000","00000001","11011110","10101100","10100000","00000010","11011111","0000000001101110","00010001"
"0","10101100","10100000","00000010","00100001","11000000","10101000","00000001","00001110","0000000000011001","00000110"
"0","11001011","11011110","11001001","10101001","11000000","10101000","00000001","11001100","0000000000010111","00000110"
"0","11001011","11011110","11001001","01010011","11000000","10101000","00000001","10011010","0000000001101110","00010001"
"0","11001011","11011110","11001001","11010001","11000000","10101000","00000001","00110011","0000000001010000","00000110"
"1","10101100","10100000","00000010","10101101","10101100","10100000","00000010","10000001","0000000000011001","00000110"
"0","10101100","10100000","00000010","11001001","11001011","11011110","11001001","00011001","0000000000010101","00000110"
"0","11000000","10101000","00000001","00000101","10101100","10100000","00000010","00111011","0000000000110101","00010001"
"0","11000000","10101000","00000001","10000100","10101100","10100000","00000010","01111000","0000000000110101","00010001"
"0","11001011","11011110","11001001","10011101","11000000","10101000","00000001","00011011","0000000000011001","00000110"
"0","10101100","10100000","00000010","00111010","11000000","10101000","00000001","00110110","0000000000011001","00000110"
